Id_cost,city,category,item,avg_price_egp,min_price_egp,max_price_egp
239,Alexandria,Restaurants,Imported Beer (0.33 Liter Bottle),150,90,200
240,Alexandria,Restaurants,Cappuccino (Regular Size),64.12,30,120
241,Alexandria,Restaurants,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",16.38,15,20
242,Alexandria,Restaurants,Bottled Water (0.33 Liter),6.53,5,10
243,Alexandria,Markets,"Milk (Regular, 1 Liter)",43.93,38,50
244,Alexandria,Markets,Fresh White Bread (500 g Loaf),39.57,20,120
245,Alexandria,Markets,White Rice (1 kg),33.52,26,40
246,Alexandria,Markets,"Eggs (12, Large Size)",61.17,36,72
247,Alexandria,Markets,Local Cheese (1 kg),208.12,80,400
248,Alexandria,Markets,Chicken Fillets (1 kg),220.62,180,250
249,Alexandria,Markets,Beef Round or Equivalent Back Leg Red Meat (1 kg),470.26,400,500
250,Alexandria,Markets,Apples (1 kg),72.11,40,90
251,Alexandria,Markets,Bananas (1 kg),33.82,25,50
252,Alexandria,Markets,Oranges (1 kg),22.69,10,35
253,Alexandria,Markets,Tomatoes (1 kg),17.04,10,25
254,Alexandria,Markets,Potatoes (1 kg),17.08,7,30
255,Alexandria,Markets,Onions (1 kg),18.57,10,30
256,Alexandria,Markets,Lettuce (1 Head),14,5,30
257,Alexandria,Markets,Bottled Water (1.5 Liter),10.12,8,12
258,Alexandria,Markets,Bottle of Wine (Mid-Range),300,150,500
259,Alexandria,Markets,Domestic Beer (0.5 Liter Bottle),66,60,90
260,Alexandria,Markets,Imported Beer (0.33 Liter Bottle),140,45,160
261,Alexandria,Markets,"Cigarettes (Pack of 20, Marlboro)",100,80,150
262,Alexandria,Transportation,One-Way Ticket (Local Transport),10,6.5,15
263,Alexandria,Transportation,Monthly Public Transport Pass (Regular Price),700,,
264,Alexandria,Transportation,Taxi Start (Standard Tariff),30,20,50
265,Alexandria,Transportation,Taxi 1 km (Standard Tariff),22.5,10,30
266,Alexandria,Transportation,Taxi 1 Hour Waiting (Standard Tariff),100,70,100
267,Alexandria,Transportation,Gasoline (1 Liter),19.03,15,24
268,Alexandria,Transportation,Volkswagen Golf 1.5 (or Equivalent New Compact Car),1690000,1690000,1800000
269,Alexandria,Transportation,Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),1506250,1200000,1700000
270,Alexandria,Utilities (Monthly),"Basic Utilities for 85 m2 Apartment (Electricity, Heating, Cooling, Water, Garbage)",669.6,470,1000
271,Alexandria,Utilities (Monthly),"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",335.79,150,500
272,Alexandria,Utilities (Monthly),"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",533.64,250,1000
273,Alexandria,Sports And Leisure,Monthly Fitness Club Membership,655.88,250,1500
274,Alexandria,Sports And Leisure,"Tennis Court Rental (1 Hour, Weekend)",385.71,250,500
275,Alexandria,Sports And Leisure,Cinema Ticket (International Release),150,100,150
276,Alexandria,Childcare,"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",4155.56,2500,5000
277,Alexandria,Childcare,"International Primary School, Annual Tuition per Child",111363.64,70000,308661.93
278,Alexandria,Clothing And Shoes,Jeans (Levi's 501 or Similar),1503.57,600,3000
279,Alexandria,Clothing And Shoes,Summer Dress in a Chain Store (e.g. Zara or H&M),2300,800,4000
280,Alexandria,Clothing And Shoes,Nike Running Shoes (Mid-Range),6545.45,3500,12000
281,Alexandria,Clothing And Shoes,Men's Leather Business Shoes,2877.78,700,5000
282,Alexandria,Rent Per Month,1 Bedroom Apartment in City Centre,6769.23,5000,15000
283,Alexandria,Rent Per Month,1 Bedroom Apartment Outside of City Centre,3722.22,3000,5000
284,Alexandria,Rent Per Month,3 Bedroom Apartment in City Centre,14272.73,10000,35000
285,Alexandria,Rent Per Month,3 Bedroom Apartment Outside of City Centre,7269.23,5000,10000
286,Alexandria,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,36428.57,25000,50000
287,Alexandria,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,23200,11000,50000
288,Alexandria,Salaries And Financing,Average Monthly Net Salary (After Tax),6606.25,,
289,Alexandria,Salaries And Financing,"Annual Mortgage Interest Rate (20-Year Fixed, in %)",20.5,14,24
290,Aswan,Restaurants,Meal at an Inexpensive Restaurant,250,200,250
291,Aswan,Restaurants,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",430,400,500
292,Aswan,Restaurants,Combo Meal at McDonald's (or Equivalent Fast-Food Meal),190,160,220
293,Aswan,Restaurants,Cappuccino (Regular Size),47.5,30,65
294,Aswan,Restaurants,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",18,,
295,Aswan,Restaurants,Bottled Water (0.33 Liter),5,5,5
296,Aswan,Transportation,One-Way Ticket (Local Transport),15,,
297,Aswan,Transportation,Taxi Start (Standard Tariff),30,,
298,Aswan,Transportation,Taxi 1 Hour Waiting (Standard Tariff),250,,
299,Aswan,Transportation,Gasoline (1 Liter),21,,
300,Aswan,Utilities (Monthly),"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",100,,
301,Aswan,Utilities (Monthly),"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",500,,
302,Aswan,Sports And Leisure,Monthly Fitness Club Membership,300,,
303,Aswan,Sports And Leisure,"Tennis Court Rental (1 Hour, Weekend)",250,,
304,Aswan,Sports And Leisure,Cinema Ticket (International Release),50,,
305,Assiut,Restaurants,Meal at an Inexpensive Restaurant,125,100,150
306,Assiut,Restaurants,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",400,,
307,Assiut,Restaurants,Combo Meal at McDonald's (or Equivalent Fast-Food Meal),220,,
308,Assiut,Restaurants,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",15,15,15
309,Assiut,Restaurants,Bottled Water (0.33 Liter),8.67,5,15
310,Assiut,Markets,"Milk (Regular, 1 Liter)",35,20,50
311,Assiut,Markets,Fresh White Bread (500 g Loaf),39,30,48
312,Assiut,Markets,White Rice (1 kg),32.33,25,40
313,Assiut,Markets,"Eggs (12, Large Size)",64,42,72
314,Assiut,Markets,Local Cheese (1 kg),140,140,140
315,Assiut,Markets,Chicken Fillets (1 kg),143.33,120,160
316,Assiut,Markets,Beef Round or Equivalent Back Leg Red Meat (1 kg),426.67,420,440
317,Assiut,Markets,Apples (1 kg),61.67,45,80
318,Assiut,Markets,Bananas (1 kg),31.67,30,35
319,Assiut,Markets,Oranges (1 kg),31.67,30,35
320,Assiut,Markets,Tomatoes (1 kg),24.33,8,50
321,Assiut,Markets,Potatoes (1 kg),16,8,25
322,Assiut,Markets,Onions (1 kg),15.67,10,25
323,Assiut,Markets,Lettuce (1 Head),11.67,5,20
324,Assiut,Markets,Bottled Water (1.5 Liter),10,,
325,Assiut,Markets,Domestic Beer (0.5 Liter Bottle),65,,
326,Assiut,Markets,"Cigarettes (Pack of 20, Marlboro)",90,,
327,Assiut,Transportation,One-Way Ticket (Local Transport),5.5,5,6
328,Assiut,Transportation,Monthly Public Transport Pass (Regular Price),600,,
329,Assiut,Transportation,Taxi Start (Standard Tariff),20,15,25
330,Assiut,Transportation,Taxi 1 km (Standard Tariff),20,20,20
