Property_id,category,governorate,city,location_full,location_name,property_type,Title,Business_Type,price_egp,price_period,price_per_sqm,size_sqm,latitude,longitude
68782040,Shop,Giza,Giza,"Gameat Al Dewal Al Arabeya St., Mohandessin, Giza",Gameat Al Dewal Al Arabeya St.,Shop,"Shop for rent in Mohandessin, off Arab League",General Commercial Shop,75000,monthly,375,200,30.05359077,31.20247459
68771051,Shop,Giza,6Th Of October,"Kazan Plaza, 6 October Compounds, 6 October City, Giza",Kazan Plaza,Shop,Luxury shop for rent in kazan mall,General Commercial Shop,74000,monthly,1000,74,0.008395,30.96513176
68535225,Shop,Cairo,New Cairo,"Akhnaton St., District 5, The 5th Settlement, New Cairo City, Cairo",Akhnaton St.,Shop,retail for rent 21m with out door 13m Mall frontag,General Commercial Shop,35000,monthly,1029.41,34,30.00482559,31.41729546
68534372,Shop,Giza,Sheikh Zayed,"Sheikh Zayed Desert Road, Riviera City, Sheikh Zayed City, Giza",Sheikh Zayed Desert Road,Shop,shop on waslet dahshor on plaza for rent,General Commercial Shop,70000,monthly,1000,70,30.05628777,31.0316143
68531536,Shop,Cairo,Cairo,"Al Nasr St., El Laselky, New Maadi, Hay El Maadi, Cairo",Al Nasr St.,Shop,A showroom with a distinctive facade and area750,General Commercial Shop,750000,monthly,1000,750,29.97792435,31.28835106
68531511,Shop,Cairo,Cairo,"Al Nasr St., El Laselky, New Maadi, Hay El Maadi, Cairo",Al Nasr St.,Shop,Commercial office for rent on Al Nasr Street,General Commercial Shop,1500000,monthly,1000,1500,29.97792435,31.28835106
68530054,Shop,Giza,Sheikh Zayed,"1O1 Mall, Sheikh Zayed City, Giza",1O1 Mall,Shop,"Strategic Commercial shop,next to Seoudi Market",General Commercial Shop,85000,monthly,1307.69,65,30.02976608,31.00066376
68529356,Shop,Cairo,Cairo,"Abbas Al Akkad St., 1st Zone, Nasr City, Cairo",Abbas Al Akkad St.,Shop,"A shop suitable for all purposes,with area of 380",General Commercial Shop,180000,monthly,473.68,380,30.06833458,31.3365078
68528533,Shop,Giza,Sheikh Zayed,"Al Karma 4, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Al Karma 4,Shop,SHOP FOE RENT IN KARMA 4 -70m,General Commercial Shop,60000,monthly,857.14,70,30.04056549,30.99054337
68528258,Shop,Cairo,Cairo,"Al Ahram St., Roxy, Heliopolis - Masr El Gedida, Cairo",Al Ahram St.,Shop,"3-phase meter, commercial, street signage.",General Commercial Shop,30000,monthly,187.5,160,30.09079361,31.32021523
68527467,Shop,Giza,Sheikh Zayed,"Al Karma 4, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Al Karma 4,Shop,2 Ground Shops for Rent in Karma 4 - Sheikh Zayed,General Commercial Shop,55000,monthly,550,100,30.04056549,30.99054337
68527055,Shop,Cairo,Cairo,"Street 275, New Maadi, Hay El Maadi, Cairo",Street 275,Shop,Commercial Space For Rent| 203m≤| New Maadi,General Commercial Shop,40000,monthly,197.04,203,29.96990967,31.27304268
68526779,Shop,North Coast,Al Alamein,"Downtown, New Alamein City, Al Alamein, North Coast",Downtown,Shop,shop for rent in a prime location in New Alamein,General Commercial Shop,115000,monthly,1493.51,77,30.85752296,28.91468239
68526046,Shop,Cairo,Cairo,"Dr Hassan Al Sherif St., 8th Zone, Nasr City, Cairo",Dr Hassan Al Sherif St.,Shop,A distinctive brand showroom with an area of 500,General Commercial Shop,130000,monthly,260,500,30.05168724,31.35684013
68524729,Shop,Cairo,Cairo,"Dr Hassan Al Sherif St., 8th Zone, Nasr City, Cairo",Dr Hassan Al Sherif St.,Shop,"Showroom for rent, 350m,with a frontage on main st",General Commercial Shop,160000,monthly,457.14,350,30.05168724,31.35684013
68521730,Shop,Cairo,New Cairo,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Mivida,Shop,Ground floor shop-Mivida Emaar-5th settlement,General Commercial Shop,60000,monthly,2142.86,28,30.00575066,31.53399849
68270176,Shop,Giza,Sheikh Zayed,"Ritzy, Al Shabab St., Sheikh Zayed City, Giza",Ritzy,Shop,"107 Meters For Rent,Prime location, main frontage",General Commercial Shop,160500,monthly,1500,107,30.03129959,30.99361992
68267791,Shop,Cairo,New Cairo,"The Water Way, North Investors Area, New Cairo City, Cairo",The Water Way,Shop,shop 250m rent for all activities Fifth Settlement,General Commercial Shop,470000,monthly,1880,250,30.04131317,31.47690773
68267246,Shop,Cairo,New Cairo,"X Mall, El Banafseg, New Cairo City, Cairo",X Mall,Shop,shop 70 m for rent in X Mall Fifth Settlement,General Commercial Shop,110000,monthly,1571.43,70,30.04331779,31.46768379
68266670,Shop,Cairo,New Cairo,"American University Housing District, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",American University Housing District,Shop,shop 133 m for rent in Spot Mall Fifth Settlement,General Commercial Shop,300000,monthly,2255.64,133,30.00636864,31.50086594
68266169,Shop,Giza,6Th Of October,"Al Nawadi St, Hadayek October, 6 October City, Giza",Al Nawadi St,Shop,Shop for rent | Prime location | Hadayek October,General Commercial Shop,117000,monthly,650,180,29.91459274,31.07165527
68265668,Shop,Giza,6Th Of October,"Al Nawadi St, Hadayek October, 6 October City, Giza",Al Nawadi St,Shop,Shop for rent | Prime location | Hadayek October,General Commercial Shop,42250,monthly,650,65,29.91459274,31.07165527
68265028,Shop,Giza,6Th Of October,"Al Nawadi St, Hadayek October, 6 October City, Giza",Al Nawadi St,Shop,Shop for Rent | Prime Location | October,General Commercial Shop,250000,monthly,500,500,29.91459274,31.07165527
68263800,Shop,Giza,Sheikh Zayed,"Sodic West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Sodic West,Shop,Super deluxe shop with A.C - 800 m≤ for rent.,General Commercial Shop,1500000,monthly,1875,800,30.0762558,30.9474411
68263343,Shop,Giza,Giza,"Gameat Al Dewal Al Arabeya St., Mohandessin, Giza",Gameat Al Dewal Al Arabeya St.,Shop,Fully finished 300 sq m shop with A.C for rent.,General Commercial Shop,150000,monthly,600,250,30.05359077,31.20247459
71923401,Shop,Giza,Sheikh Zayed,"Waslet Dahshur Road, Sheikh Zayed City, Giza",Waslet Dahshur Road,Shop,Ground floor shop for rent with outdoor area,General Commercial Shop,80000,monthly,2000,40,30.01637077,30.97507668
68004608,Shop,Giza,Sheikh Zayed,"Walk of Cairo, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Walk of Cairo,Shop,"Shop for rent in Walk of Cairo Mall, 98 m,",General Commercial Shop,84000,monthly,857.14,98,30.07733917,30.95166206
68003708,Shop,Cairo,New Cairo,"Riviera heights, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Riviera heights,Shop,Commercial instant delivery in Riviera Heights 34m,General Commercial Shop,29768,monthly,875.53,34,30.0234108,31.48687363
68003267,Shop,Cairo,New Cairo,"1st Settlement Post office St., The 1st Settlement, New Cairo City, Cairo",1st Settlement Post office St.,Shop,SHOP | FOR RENT ( Caf√© & Restaurant ) 1000m,Restaurant,500000,monthly,500,1000,30.06746101,31.46055031
68003157,Shop,Cairo,New Cairo,"Downtown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Downtown,Shop,Prime Location Ground Finished Shop (Corner),General Commercial Shop,600000,monthly,2000,300,30.01681709,31.41212654
67999131,Shop,Cairo,New Cairo,"El Rehab Extension, Al Rehab, New Cairo City, Cairo",El Rehab Extension,Shop,Fully finished 190m shop with ACS for rent-ALRehab,General Commercial Shop,250000,monthly,1315.79,190,30.06147003,31.5113945
67999120,Shop,Alexandria,Alexandria,"Mohamed Ezz Al Arab St., Laurent, Hay Sharq, Alexandria",Mohamed Ezz Al Arab St.,Shop,Move-In Ready Shop | Super Lux Finish,General Commercial Shop,12000,monthly,400,30,31.24607277,29.97706795
